words,values
allergia,8.88
contante,9.0
piccione,5.96
stufa,7.08
audace,9.64
terrorizzato,8.24
pantofola,4.84
latte,3.24
fangoso,8.08
scrivania,4.92
pesante,6.08
inferno,6.88
lavorare,7.0
impulso,8.92
passero,5.36
sicuro,5.8
compagno,5.16
infermiere,6.68
credenza,5.96
indagine,9.28
roulotte,8.92
ordinato,5.44
dogana,11.48
bestia,7.16
stritolare,7.48
angoscia,9.36
fagiano,8.04
albergo,7.24
amnistia,11.791666666666666
adorabile,7.16
precipizio,8.24
triciclo,4.28
attento,6.08
golfo,8.24
pappa,2.08
pianta,4.24
mettere,4.28
foglia,4.08
mutilare,10.25
goffo,9.12
spada,5.24
peccaminoso,10.04
squalo,5.04
assassino,7.4
pisello,4.04
motore,7.28
manette,6.16
naturale,7.04
affamato,4.84
domicilio,10.6
sogliola,6.4
tonno,5.64
galleria,5.68
rigido,7.08
uccello,2.96
giudice,8.08
meraviglia,6.8
budino,6.36
supermercato,4.56
trave,7.92
prateria,7.32
flirtare,11.24
melone,5.08
paura,5.76
bello,3.8
villaggio,5.96
coprire,5.8
vasca,4.6
medicina,4.44
mappamondo,5.88
freccia,5.44
galera,7.0
maniaco,9.32
bosco,4.52
miracolo,6.96
disastro,6.44
abete,6.24
veloce,4.16
faro,6.96
gioia,5.6
scarafaggio,5.36
mento,5.0
uragano,7.44
inganno,7.84
sogno,4.68
guanto,5.92
vaso,5.72
spinacio,4.88
bimbi,3.28
timone,6.72
pomeriggio,4.0
fazzoletto,3.96
pus,7.5
bufera,8.56
pupazzo,3.32
ritardato,9.92
vita,6.68
arpa,8.24
uomo,4.12
nero,4.24
idrante,9.36
cranio,8.44
sgradevole,7.52
ortica,7.04
duro,4.68
panno,5.88
yacht,9.565217391304348
furto,7.64
tortellini,5.68
esercito,7.56
sifilide,13.869565217391305
comfort,8.56
jeep,6.88
codice,7.56
aereo,5.44
giostra,4.08
scettico,11.92
immaginare,5.96
pane,2.88
agio,11.76
acchiappare,4.84
handicap,7.44
cuoio,7.72
impegnato,8.56
luogo,5.76
svestito,6.96
posacenere,8.12
pervertito,12.76
scoraggiato,10.32
grande,4.64
zuppa,4.08
vagone,5.96
sandalo,5.88
cattivo,3.48
evidente,7.96
benda,6.04
agonia,9.4
saltare,3.48
falco,6.44
apatico,11.08
grattugia,8.64
luna,4.56
denti,3.48
scuola,4.4
thé,5.4
rapimento,7.08
furia,8.52
orto,6.16
maionese,5.68
cactus,7.16
capezzolo,9.48
ragazza,4.88
